행정동,사고유형 - 소분류_ 기타,사고유형 - 소분류_ 정면충돌,사고유형 - 소분류_ 추돌,사고유형 - 소분류_ 측면충돌,사고유형 - 소분류_ 후진중충돌,법규위반_교차로운행방법위반,법규위반_기타,법규위반_보행자보호의무위반,법규위반_불법유턴,법규위반_신호위반,법규위반_안전거리미확보,법규위반_안전운전불이행,법규위반_중앙선침범,법규위반_직진우회전진행방해,법규위반_차로위반,도로형태 - 대분류_교차로,도로형태 - 대분류_기타,도로형태 - 대분류_단일로,도로형태 - 대분류_미분류,도로형태 - 대분류_주차장,도로형태 - 소분류_ 고가도로위,도로형태 - 소분류_ 교량,도로형태 - 소분류_ 교차로부근,도로형태 - 소분류_ 교차로안,도로형태 - 소분류_ 교차로횡단보도내,도로형태 - 소분류_ 기타,도로형태 - 소분류_ 미분류,도로형태 - 소분류_ 주차장,도로형태 - 소분류_ 지하차도(도로)내,도로형태 - 소분류_ 터널,가해운전자 차종_개인형이동수단(PM),가해운전자 차종_건설기계,가해운전자 차종_기타불명,가해운전자 차종_농기계,가해운전자 차종_사륜오토바이(ATV),가해운전자 차종_승용,가해운전자 차종_승합,가해운전자 차종_원동기,가해운전자 차종_이륜,가해운전자 차종_자전거,가해운전자 차종_특수,가해운전자 차종_화물,가해운전자 연령대_10대 이하,가해운전자 연령대_20대,가해운전자 연령대_30대,가해운전자 연령대_40대,가해운전자 연령대_50대,가해운전자 연령대_60대,가해운전자 연령대_70대,가해운전자 연령대_미분류,total_population,street parking,senior_ratio,평균 ECLO
문래동,30,4,38,44,1,2,2,0,0,13,20,72,4,1,3,45,3,69,0,0,8,1,18,26,1,62,0,0,0,1,0,0,2,0,0,80,2,3,9,10,0,11,2,12,21,12,30,29,10,1,32335,459,0.156270295,3.427350427
미아동,86,8,56,145,9,7,7,0,5,34,73,148,12,17,1,164,5,134,0,1,0,0,54,109,1,138,0,1,0,1,1,0,8,0,0,192,15,4,49,8,1,26,3,37,50,50,53,72,34,5,128883,1110,0.219602275,0.809210526
반포동,98,8,88,146,5,2,8,0,1,25,71,220,5,1,12,118,42,183,0,2,2,9,66,47,5,212,0,2,2,0,1,7,10,0,0,245,27,1,19,9,1,25,8,40,73,64,74,51,26,9,78094,399,0.14223884,1.675362319
잠원동,60,4,68,72,8,1,3,0,0,14,35,143,2,5,9,71,37,103,1,0,7,0,36,34,1,133,1,0,0,0,2,2,3,0,0,159,5,2,6,9,1,23,3,32,35,35,47,34,22,4,50918,121,0.140853922,1.608490566
발산제1동,12,1,9,17,1,3,0,0,0,8,7,18,2,0,2,24,3,13,0,0,0,0,12,12,0,16,0,0,0,0,0,2,0,0,0,24,1,0,2,4,1,6,1,4,5,3,5,15,7,0,35797,183,0.155655502,18.55
방배동,45,9,55,154,9,7,1,0,0,43,37,176,5,1,2,105,15,150,0,2,0,2,47,58,0,156,0,2,1,6,1,3,2,0,0,198,25,1,17,2,2,21,1,33,46,47,62,52,29,2,94165,1634,0.182636861,0.672794118
방이동,71,6,38,83,5,4,2,0,4,25,28,123,6,6,5,106,6,91,0,0,0,0,37,58,11,97,0,0,0,0,3,6,2,0,0,135,7,4,26,12,0,8,7,22,38,29,43,41,21,2,59980,1030,0.162354118,2.950738916
방학동,13,9,17,50,3,7,1,0,4,18,12,40,3,7,0,69,0,23,0,0,0,0,18,46,5,23,0,0,0,0,1,0,0,0,0,57,6,0,9,9,0,10,6,11,9,13,24,18,10,1,72583,719,0.23794828,6.163043478
방화제2동,16,3,17,15,1,1,2,0,1,7,12,29,0,0,0,9,8,35,0,0,1,0,5,4,0,42,0,0,0,0,0,3,1,0,0,39,1,1,0,3,0,4,0,4,8,14,7,15,3,1,22906,262,0.232821095,11.44230769
번동,41,4,28,56,2,6,5,0,0,18,21,69,5,7,0,73,3,55,0,0,0,0,27,42,4,58,0,0,0,0,0,0,0,0,0,83,8,2,14,5,2,17,2,19,20,16,32,29,13,0,48530,404,0.26733979,3.923664122
